slide,file,source,width,height,kb,kind,duplicate_of
16,s16-01-image189.jpg,image189.jpeg,3000,2000,250,photo,
16,s16-02-image190.png,image190.png,984,898,152,photo,
16,s16-03-image191.svg,image191.svg,,,7,svg,
16,s16-04-image192.png,image192.png,1178,786,1251,photo,
16,s16-05-image193.png,image193.png,202,202,6,logo/graphic,
16,s16-06-image194.svg,image194.svg,,,0,svg,
16,s16-07-image195.png,image195.png,720,489,498,photo,
17,s17-01-image196.jpg,image196.jpeg,2804,1869,1357,photo,
17,s17-02-image197.jpg,image197.jpeg,1402,935,370,photo,
17,s17-03-image198.jpg,image198.jpeg,1402,935,319,photo,
17,s17-04-image199.jpg,image199.jpeg,1505,1004,547,photo,
17,s17-05-image200.jpg,image200.jpeg,2103,1402,905,photo,
18,s18-01-image201.jpg,image201.jpeg,2750,1834,1632,photo,
18,s18-02-image202.jpg,image202.jpeg,1343,895,448,photo,
18,s18-03-image203.jpg,image203.jpeg,1383,922,452,photo,
18,s18-04-image204.jpg,image204.jpeg,1383,922,444,photo,
19,s19-01-image205.jpg,image205.jpeg,2808,1580,2155,photo,
19,s19-02-image206.jpg,image206.jpeg,638,356,181,photo,
19,s19-03-image207.jpg,image207.jpeg,1124,632,220,photo,
19,s19-04-image208.jpg,image208.jpeg,767,512,264,photo,
19,s19-05-image209.jpg,image209.jpeg,849,464,211,photo,
19,s19-06-image210.png,image210.png,447,854,576,photo,
20,s14-02-image179.png,image179.png,182,97,2,logo/graphic,s14-02-image179.png
20,s14-03-image180.svg,image180.svg,,,0,svg,s14-03-image180.svg
20,s20-03-image211.jpg,image211.jpeg,2850,1722,1178,photo,
21,s21-01-image212.jpg,image212.jpeg,2048,789,175,photo,
22,s22-01-image213.jpg,image213.jpeg,1296,616,152,photo,
22,s22-02-image214.jpg,image214.jpeg,1229,585,230,photo,
22,s22-03-image215.jpg,image215.jpeg,1256,887,356,photo,
22,s22-04-image216.jpg,image216.jpeg,1280,872,233,photo,
22,s22-05-image217.png,image217.png,1129,414,163,photo,
22,s22-06-image218.png,image218.png,1386,562,165,photo,
22,s22-07-image219.png,image219.png,1156,565,189,photo,
23,s23-01-image220.png,image220.png,1203,476,1118,photo,
23,s23-02-image221.png,image221.png,595,716,211,photo,
23,s23-03-image222.png,image222.png,496,516,120,logo/graphic,
24,s24-01-image223.jpg,image223.jpeg,1402,935,404,photo,
24,s24-02-image224.jpg,image224.jpeg,1402,935,353,photo,
24,s24-03-image225.jpg,image225.jpeg,1402,935,398,photo,
24,s24-04-image226.jpg,image226.jpeg,1402,935,453,photo,
24,s24-05-image227.jpg,image227.jpeg,2304,1536,672,photo,
25,s25-01-image228.jpg,image228.jpeg,960,640,289,photo,
25,s25-02-image229.png,image229.png,488,592,445,logo/graphic,
25,s25-03-image230.png,image230.png,679,913,656,photo,
25,s25-04-image231.png,image231.png,585,778,585,photo,
25,s25-05-image232.png,image232.png,982,1242,1247,photo,
26,s26-01-image233.jpg,image233.jpeg,1200,900,472,photo,
26,s26-02-image234.jpg,image234.jpeg,864,1296,405,photo,
26,s26-03-image235.jpg,image235.jpeg,1200,900,448,photo,
26,s26-04-image236.jpg,image236.jpeg,900,1200,387,photo,
26,s26-05-image237.jpg,image237.jpeg,1800,2400,1411,photo,
27,s27-01-image238.jpg,image238.jpeg,1858,1050,1023,photo,
27,s27-02-image239.jpg,image239.jpeg,1239,826,618,photo,
27,s27-03-image240.jpg,image240.jpeg,1239,826,564,photo,
27,s27-04-image241.jpg,image241.jpeg,720,1280,297,photo,
28,s24-03-image225.jpg,image225.jpeg,1402,935,398,photo,s24-03-image225.jpg
28,s28-02-image242.jpg,image242.jpeg,1239,826,579,photo,
28,s28-03-image243.jpg,image243.jpeg,1200,900,327,photo,
28,s27-03-image240.jpg,image240.jpeg,1239,826,564,photo,s27-03-image240.jpg
28,s24-02-image224.jpg,image224.jpeg,1402,935,353,photo,s24-02-image224.jpg
28,s28-06-image244.jpg,image244.jpeg,896,504,229,photo,
28,s28-07-image245.jpg,image245.jpeg,1354,1015,606,photo,
28,s28-08-image246.png,image246.png,130,130,2,logo/graphic,
28,s28-09-image247.svg,image247.svg,,,1,svg,
28,s28-10-image248.png,image248.png,495,1069,19,photo,
28,s28-11-image249.svg,image249.svg,,,1,svg,
28,s28-12-image250.jpg,image250.jpeg,964,1286,751,photo,
28,s28-13-image251.jpg,image251.jpeg,857,1143,487,photo,
28,s26-03-image235.jpg,image235.jpeg,1200,900,448,photo,s26-03-image235.jpg
28,s28-15-image252.jpg,image252.jpeg,1200,900,429,photo,
28,s28-16-image253.jpg,image253.jpeg,810,540,266,photo,
29,s29-01-image254.jpg,image254.jpeg,3808,2535,4606,photo,
29,s29-02-image255.jpg,image255.jpeg,538,807,177,photo,
29,s29-03-image256.jpg,image256.jpeg,555,832,200,photo,
29,s29-04-image257.jpg,image257.jpeg,555,832,178,photo,
29,s29-05-image258.png,image258.png,384,387,213,logo/graphic,
29,s29-06-image259.png,image259.png,429,422,245,logo/graphic,
30,s30-01-image260.jpg,image260.jpeg,2804,1869,1508,photo,
30,s30-02-image261.jpg,image261.jpeg,1296,972,525,photo,
30,s30-03-image262.jpg,image262.jpeg,1402,935,392,photo,
30,s30-04-image263.jpg,image263.jpeg,576,324,142,logo/graphic,
31,s31-01-image264.jpg,image264.jpeg,2324,1556,679,photo,
31,s31-03-image265.png,image265.png,130,130,3,logo/graphic,
31,s31-04-image266.svg,image266.svg,,,1,svg,
31,s31-05-image267.png,image267.png,225,225,6,logo/graphic,
31,s31-06-image268.svg,image268.svg,,,2,svg,
31,s31-07-image269.png,image269.png,240,160,8,logo/graphic,
